Date,Platform,Review
2025-10-01,Web Portal,The signature coffee is absolutely amazing!
2025-10-02,Web Portal,"Service was a bit slow today, but coffee is okay."
2025-10-03,Web Portal,Good environment and reasonable price.
2026-06-13 12:16:34,Web Portal,"The food is terrible, and the waiting time is way too long!"
2026-06-13 12:18:08,Web Portal,"makanan sedap, murah dan berbaloi!"
2026-06-13 12:19:00,Web Portal,"cafe bersih, menu pun sedap, boleh repeat lagi..."
2026-04-28 21:20:25,Google Maps,"The staff was friendly and nice!

The food here that i ordered, which is the fish and chips, is delicious. People might say the price is high but its standard fish and chips price and its very worth it since it filled a hole.

Atmosphere was calming and have a great slow jazz music playing in the background.

Had a great solo dating by myself :D"
2025-12-21 17:55:28,Google Maps,"The almond latte at Tiaphari was smooth, nutty, and perfectly balanced, comfort in a cup. The calm, unhurried atmosphere made it the kind of place you go to breathe."
2025-11-28 19:33:24,Google Maps,"Great service, nice foods, especially the Kacang Pool, really delicious. The coffee also very tasty, not too sweet, thumbs up !! 👍🏻👍🏻"
2025-11-13 13:47:03,Google Maps,"Fish and chips sedappp, must try. Salad fresh and the tartar sauce nice. Cheese tart matcha dan taro pun sedap. Ordered through ws for pickup, they reply fast and very polite. Got one item missing but they straightaway send it over. Good service. Thank you."
2025-06-01 20:02:36,Google Maps,"Chocolate chip smoothie & ChocOreo Cheesecake Smoothie (both are sweet, just nicely sweet. Have the chunkiness of the chocolate chip, quite hard to drink after awhile because of the thin straw, maybe for smoothie,they can use a slightly bigger straw) -> 8/10

Iced Matcha (the green tea flavour is stronger, not too sweet, just nice) -> 9/10

Cheese tart (the cheese part is smooth, creamy, mild sweet because some of  the topping are also sweet, the tart is baked nicely, have the moisture, not dry, not overbaked one) -> 9/10

Kacang phool (have 2 big slice of bread that toasted nicely, taste nice) -> 8/10

Pavlova (the sweetness is nice, compliment with the fruit toppings) -> 8/10

Iced Honey Lemon Tea (sour and sweet) -> 8/10"
